author,author_sex,author_work_count,rating_count,log_author_work_count,bins
frances j. roberts,female,26,374.0,1.414973347970818,budding
frances o'roark dowell,female,38,2711.5,1.5797835966168101,experienced
frances osborne,female,7,3727.0,0.8450980400142568,newbie
frances stonor saunders,female,6,379.0,0.7781512503836436,newbie
francesca haig,female,7,6404.0,0.8450980400142568,newbie
francesca lia block,female,81,5199.25,1.9084850188786497,experienced
francesca segal,female,11,5281.0,1.0413926851582251,budding
francesca simon,female,290,871.25,2.462397997898956,legendary
francesca zappia,female,7,33276.0,0.8450980400142568,newbie
francesco d'adamo,male,20,4996.0,1.3010299956639813,budding
francesco petrarca,male,256,289.0,2.4082399653118496,legendary
francine prose,female,125,4538.666666666667,2.0969100130080562,legendary
francine rivers,female,60,37796.07142857143,1.7781512503836436,experienced
francis a. schaeffer,male,62,4460.0,1.792391689498254,experienced
francis bacon,male,508,3746.0,2.7058637122839193,legendary
francis bandettini,male,3,76.0,0.47712125471966244,newbie
francis carsac,male,30,143.0,1.4771212547196624,budding
francis chan,male,75,92504.5,1.8750612633917,experienced
francis de sales,male,174,4280.0,2.2405492482826,legendary
francis fukuyama,male,55,4794.0,1.7403626894942439,experienced
francis iles,male,12,985.0,1.0791812460476249,budding
francis king,male,70,8.0,1.845098040014257,experienced
francisco moita flores,male,23,74.0,1.3617278360175928,budding
francisco umbral,male,111,370.5,2.0453229787866576,legendary
francisco x. stork,male,17,17953.0,1.2304489213782739,budding
frank asch,male,95,98.0,1.9777236052888478,experienced
frank b. gilbreth jr.,male,18,35993.0,1.255272505103306,budding
frank baker,male,16,899.0,1.2041199826559248,budding
frank beddor,male,17,12177.5,1.2304489213782739,budding
frank bettger,male,22,14028.0,1.3424226808222062,budding
frank brady,male,32,8005.0,1.505149978319906,experienced
frank cammuso,male,27,5478.0,1.4313637641589874,budding
frank close,male,28,733.0,1.4471580313422192,budding
frank conroy,male,18,2464.5,1.255272505103306,budding
frank cottrell boyce,male,55,3438.6666666666665,1.7403626894942439,experienced
frank de felitta,male,12,20522.0,1.0791812460476249,budding
frank delaney,male,50,5518.5,1.6989700043360187,experienced
frank e. peretti,male,77,21160.53846153846,1.8864907251724818,experienced
frank frazetta,male,219,377.0,2.3404441148401185,legendary
frank herbert,male,309,117597.3,2.4899584794248346,legendary
frank mccourt,male,45,203229.33333333334,1.6532125137753437,experienced
frank miller,male,694,37206.333333333336,2.841359470454855,legendary
frank moorhouse,male,45,311.0,1.6532125137753437,experienced
frank muir,male,66,103.0,1.8195439355418688,experienced
frank norris,male,151,1596.0,2.1789769472931693,legendary
frank portman,male,6,3853.0,0.7781512503836436,newbie
frank r. stockton,male,403,1429.5,2.6053050461411096,legendary
frank rose,male,9,921.0,0.9542425094393249,newbie
frank schaeffer,male,31,1986.0,1.4913616938342726,budding
frank scozzari,male,43,586.0,1.6334684555795864,experienced
frank sheed,male,45,1048.5,1.6532125137753437,experienced
frank tallis,male,24,2315.0,1.380211241711606,budding
frank w. abagnale,male,8,46534.0,0.9030899869919435,newbie
frank warren,male,8,19187.6,0.9030899869919435,newbie
frank waters,male,69,866.0,1.8388490907372552,experienced
frank zappa,male,26,5445.0,1.414973347970818,budding
franklin veaux,male,12,2531.0,1.0791812460476249,budding
franklin w. dixon,male,615,3811.6,2.788875115775417,legendary
franny billingsley,female,7,12892.0,0.8450980400142568,newbie
frans de waal,male,30,2985.8333333333335,1.4771212547196624,budding
frans g. bengtsson,male,36,6357.0,1.5563025007672873,experienced
frantz fanon,male,32,16479.0,1.505149978319906,experienced
franz bardon,male,19,191.0,1.2787536009528289,budding
franz grillparzer,male,164,476.0,2.214843848047698,legendary
franz kafka,male,1412,64473.4375,3.149834696715785,legendary
franz werfel,male,115,49.0,2.060697840353612,legendary
fred chappell,male,89,804.0,1.9493900066449128,experienced
fred gallagher,male,21,1740.0,1.3222192947339193,budding
