,author,sex,work_count,fan_count,author_avg_rating,author_rating_count,author_review_count
73985,sheryl brady,female,4,2,4.44,68,3
73986,sheryl browne,female,19,545,3.8,12197,1783
73987,sheryl c.s. johnson,female,2,15,3.83,461,94
73988,sheryl feldman,female,3,4,4.06,2112,173
73989,sheryl j. anderson,female,8,37,3.61,1711,111
73990,sheryl kahn,female,13,2,4.5,3215,32
73991,sheryl leonard,female,2,2,3.53,605,49
73992,sheryl nantus,female,47,360,3.73,1959,576
73993,sheryl parbhoo,female,1,61,3.89,44,17
73994,sheryl sandberg,female,20,2572,3.94,257865,16714
73995,sheryl scarborough,female,13,186,3.83,3356,557
73996,sheryl seal,female,6,96,4.16,1135,242
73997,sheryl steinberg,female,1,10,2.94,70,33
73998,sheryl steines,female,6,228,3.79,205,92
73999,sherylynne l. rochester,female,10,21,4.26,424,66
74000,sheryn macmunn,female,1,31,3.65,836,92
74001,sherzad hassan,male,14,55,3.73,259,44
74002,sheva thalia,female,5,21,3.74,597,132
74003,shey stahl,female,43,1937,4.13,43248,3850
74004,shhyawn,male,1,9,3.11,99,31
74005,shi collantes,female,6,78,4.46,123,6
74006,shi nai'an,male,114,25,4.08,2722,230
74007,shiana,female,21,47,4.38,367,47
74008,shibram chakraborty,male,87,74,4.2,1003,74
74009,shichirō fukazawa,male,10,9,3.58,364,40
74010,shienny m.s.,female,23,259,4.32,3968,419
74011,shifra horn,female,10,4,3.65,652,92
74012,shigeaki kato,male,7,24,4.23,104,9
74013,shigeru mizuki,male,115,183,4.15,9239,1088
74014,shigeyoshi takagi,female,17,52,3.84,3166,151
74015,shiho sugiura,female,78,51,4.3,8442,235
74016,shikha kaul,female,7,173,3.83,477,117
74017,shikha kumarr,female,6,46,3.99,630,70
74018,shiloh darke,female,15,17,3.42,183,11
74019,shiloh walker,female,187,2362,3.83,67769,7080
74020,shilpa agarwal,female,5,30,3.45,628,103
74021,shilpa gupta,female,4,11,4.04,166,44
74022,shilpa menon,female,3,42,4.44,116,58
74023,shilpa mudiganti,female,11,39,3.86,245,126
74024,shilpa suraj,female,6,28,4.01,310,96
74025,shilpi somaya gowda,female,6,57594,4.0,80513,6745
74026,shima rostam,female,5,12,3.56,52,10
74027,shimei futabatei,male,22,5,3.47,116,17
74028,shimmer chinodya,male,9,24,3.92,364,35
74029,shimoku kio,male,64,23,4.06,7390,252
74030,shimon edelman,male,8,12,3.34,131,22
74031,shimon peres,male,33,23,4.21,1335,168
74032,shimrit hilel,female,1,0,3.55,62,11
74033,shin kyung-sook,female,18,820,3.82,28736,5041
74034,shin takahashi,male,79,18,4.04,2709,181
74035,shin'ichi sakamoto,male,56,29,4.21,3011,192
74036,shinde sweety,female,2,89,4.24,228,110
74037,shing-tung yau,male,27,17,3.76,2852,279
74038,shingo honda,male,54,4,3.8,657,65
74039,shinichi hoshi,male,118,24,3.96,869,95
74040,shinichi suzuki,male,225,19,4.19,2502,236
74041,shinie antony,female,24,13,3.42,142,30
74042,shinji kajio,male,26,22,3.97,1154,120
74043,shinji kimura,female,3,1,3.95,131,10
74044,shinji moon,female,1,751,4.28,4047,173
74045,shinji wada,male,48,3,3.94,834,32
74046,shinmon aoki,male,2,0,3.75,111,21
74047,shinobu amano,female,96,61,4.3,11904,334
74048,shinobu inokuma,male,25,12,3.86,2778,74
74049,shinobu ohtaka,female,80,198,4.24,29635,1017
74050,shintarō ishihara,male,27,22,3.35,239,38
74051,shintarō kago,male,106,138,3.74,2091,225
74052,shinzō mitsuda,male,33,6,3.73,179,25
74053,shion miura,female,41,104,3.79,7956,1078
74054,shira anthony,female,34,421,3.85,8724,1963
74055,shira glassman,female,23,432,3.95,3271,921
74056,shira keller,female,2,3,3.59,115,18
74057,shira nayman,female,5,9,3.38,635,155
74058,shira ohayon,female,2,57,3.91,35,17
74059,shiralyn j. lee,female,41,18,3.88,458,93
74060,shiri eisner,female,1,18,3.78,651,95
74061,shirin ebadi,female,13,212,4.15,6175,755
74062,shirin klaus,female,17,91,3.64,1166,223
74063,shirish kanekar,male,26,12,3.76,224,2
74064,shirl anders,female,31,115,3.77,3870,283
74065,shirl henke,female,53,54,3.98,3248,181
74066,shirl rickman,female,7,47,3.89,538,146
74067,shirlee busbee,female,35,207,3.82,9984,558
74068,shirlee mccoy,female,128,308,4.15,14465,1893
74069,shirleen davies,female,59,678,4.35,12995,1333
74070,shirley abbott,female,11,9,3.55,386,63
74071,shirley barber,female,110,44,4.22,1124,103
74072,shirley barrett,female,6,66,3.4,3197,761
74073,shirley brosius,female,4,4,4.33,30,13
74074,shirley chisholm,female,7,36,4.43,593,97
74075,shirley climo,female,25,20,3.91,4873,737
74076,shirley conran,female,21,69,3.78,8227,474
74077,shirley corder,female,15,40,4.38,78,37
74078,shirley damsgaard,female,11,398,3.93,16491,899
74079,shirley dickson,female,3,71,4.14,6828,461
74080,shirley e. watson,female,11,2,3.35,31,6
74081,shirley george frazier,female,12,3,4.04,47,2
74082,shirley gilmore,female,3,58,4.68,44,21
74083,shirley hazzard,female,24,120,3.61,7693,1117
74084,shirley hershey showalter,female,1,44,3.89,331,62
74085,shirley holder platt,female,12,4,4.3,46,28
74086,shirley hubbard,female,2,0,4.5,2,0
74087,shirley hughes,female,244,156,4.14,17293,1573
74088,shirley jackson,female,227,4800,3.95,413341,37104
74089,shirley jones,female,20,3,3.18,1640,314
74090,shirley jump,female,266,521,3.73,10952,1354
74091,shirley kennedy,female,28,232,3.68,1744,293
74092,shirley kennett,female,9,9,3.64,292,38
74093,shirley maclaine,female,28,207,3.87,17527,1001
74094,shirley marks,female,18,39,3.41,1358,204
74095,shirley marr,female,4,367,3.67,1889,335
74096,shirley mccann,female,17,133,3.84,242,56
74097,shirley miranda,female,6,17,4.08,368,29
74098,shirley parenteau,female,29,37,3.69,2608,495
74099,shirley patton,female,2,6,3.5,166,27
74100,shirley penick,female,19,316,4.3,1482,211
74101,shirley press,female,1,3,3.46,24,1
74102,shirley priscilla johnson,female,58,4,0.0,0,0
74103,shirley r. steinberg,female,63,5,3.72,183,15
74104,shirley raye redmond,female,36,5,3.78,617,109
74105,shirley reva vernick,female,3,11,3.56,433,126
74106,shirley rousseau murphy,female,60,391,4.15,20061,1695
74107,shirley spain,female,20,12,4.17,369,100
74108,shirley tallman,female,5,57,3.77,2536,296
74109,shirley temple black,female,4,26,3.98,2082,122
74110,shirley vasu,female,1,2,3.71,93,14
74111,shirley wells,female,18,82,3.94,1820,201
74112,shirley wine,female,23,36,3.79,843,163
74113,shiro amano,male,103,198,4.23,23080,1173
