,author,sex,work_count,fan_count,author_avg_rating,author_rating_count,author_review_count
0,"""whoopie pie"" pam jarrell",female,14,26,4.27,1448,116
1,'captain' robert brown,male,3,13,3.75,202,40
2,'nathan burgoine,male,49,288,4.12,4175,1014
3,19,male,5,73,3.96,461,142
4,50 cent,male,29,176,4.1,12274,1090
5,@id_ayahasi,male,1,1,3.98,98,30
6,a yi,male,21,21,3.35,758,160
7,a'lelia perry bundles,female,4,85,3.35,1664,64
8,a. aimee,female,2,73,4.08,79,40
9,a. ali ural,male,26,57,4.01,1447,109
10,a. avraham perlmutter,male,1,8,3.84,200,21
11,a. ayyappan,male,11,101,4.0,263,3
12,a. blake white,male,14,14,4.25,142,23
13,a. brad schwartz,female,3,25,3.78,629,131
14,a. breeze harper,female,3,29,4.25,464,61
15,a. catherine noon,female,17,50,3.61,641,125
16,a. den doolaard,male,22,10,3.37,422,34
17,a. digger stolz,male,3,13,4.18,677,61
18,a. dirk moses,male,14,4,4.14,57,7
19,a. emma hollis,female,1,3,3.2,25,7
20,a. ferdinand herold,male,7,0,3.68,19,1
21,a. gavazzoni,female,5,223,4.27,223,126
22,a. giacomi,female,10,79,4.04,200,86
23,a. gorman,female,24,75,4.12,399,131
24,a. hyatt verrill,male,111,1,3.61,499,37
25,a. igoni barrett,male,6,104,3.44,2424,404
26,a. jacob sweeny,female,11,190,4.3,473,178
27,a. james kolar,male,1,4,3.99,868,86
28,a. jones,female,3,22,4.58,697,204
29,a. kirk,female,13,1333,4.2,17171,1626
30,a. lexy beck,female,10,19,3.87,1415,73
31,a. lopez jr.,male,25,56,3.51,1634,187
32,a. manette ansay,female,8,111,3.4,32823,1684
33,a. marie johnson,female,13,117,4.58,1377,462
34,a. meredith walters,female,35,4262,4.0,97491,8518
35,a. merritt,male,172,73,3.8,7180,694
36,a. mustofa bisri,male,42,126,4.02,1972,173
37,a. norman jeffares,male,142,3,3.89,659,50
38,a. payne,female,14,80,4.18,526,178
39,a. ras,male,0,11,3.84,50,8
40,a. robert allen,male,7,79,4.31,498,357
41,a. samad ismail,male,20,14,3.85,147,41
42,a. samad said,male,66,316,4.06,3139,427
43,a. sanh,female,11,15,4.37,49,20
44,a. scott berg,male,10,111,4.04,15341,1255
45,a. sreedhara menon,male,19,19,3.85,368,22
46,a. teeuw,male,26,6,4.12,408,37
47,a. turan oflazoğlu,male,31,3,3.77,181,22
48,a. van kraft,male,1,1,3.76,42,6
49,a. violet end,female,41,77,3.31,413,87
50,a. woodley,female,14,22,3.0,2,2
51,a. zavarelli,female,38,4537,4.16,84013,11944
52,a.a. askevold,female,3,122,4.08,829,71
53,a.a. attanasio,male,50,239,3.87,8502,699
54,a.a. dark,female,10,445,4.11,3468,759
55,a.a. fair,male,56,37,3.8,4068,570
56,a.a. hoehling,male,33,2,3.7,250,44
57,a.a. mcdonald,female,1,16,3.27,681,161
58,a.a. milne,male,974,2657,4.36,524429,11068
59,a.a. navis,male,26,76,3.9,4595,437
60,a.a. volts,male,5,27,3.58,165,27
61,a.a. warren,male,5,8,4.14,185,58
62,a.b. gayle,female,17,180,3.77,2015,524
63,a.b. guthrie jr.,male,35,70,3.96,10239,762
64,a.b. keuser,female,24,32,3.72,195,75
65,a.b. mckinley,male,4,101,4.3,464,89
66,a.b. michaels,female,10,377,4.19,766,162
67,a.b. paterson,male,94,19,4.0,1219,144
68,a.b. shepherd,female,2,27,3.94,95,47
69,a.b. simpson,male,180,23,4.07,559,46
70,a.b. westrick,female,3,29,3.9,692,203
71,a.b. whelan,female,15,536,3.82,2803,724
72,a.b. yehoshua,male,57,151,3.74,6903,813
73,a.c. baantjer,male,131,35,3.37,5704,432
74,a.c. bextor,female,24,1217,4.18,22667,2516
75,a.c. bhaktivedanta swami prabhupāda,male,333,385,4.21,12204,947
76,a.c. bradley,male,21,7,4.12,799,51
77,a.c. crispin,female,45,249,3.85,55113,1864
78,a.c. donaubauer,female,6,35,4.47,77,47
79,a.c. fuller,male,27,95,4.1,5628,775
80,a.c. gaughen,female,5,1821,3.96,39740,5095
81,a.c. graham,male,12,5,4.19,774,61
82,a.c. grayling,male,71,417,3.89,29938,1977
83,a.c. greene,male,29,3,3.99,122,26
84,a.c. grey,female,3,4,3.69,250,12
85,a.c. highfield,male,12,0,4.12,89,0
86,a.c. hutchinson,male,4,9,3.75,233,58
87,a.c. james,female,40,266,4.05,3815,1327
88,a.c. katt,female,35,160,3.89,5954,636
89,a.c. marchman,female,6,494,3.8,4155,393
90,a.c. pontone,female,9,130,4.13,1102,314
91,a.c. salter,male,6,90,4.41,185,59
92,a.c. taylor,female,17,103,4.43,2634,559
93,a.c. warneke,female,18,152,3.76,1759,327
94,a.c. weisbecker,male,1,30,3.88,2268,155
95,a.c. williams,female,15,46,4.44,330,135
96,a.c. wilson,female,17,243,3.97,1292,237
97,a.c.h. smith,male,17,45,4.17,4473,503
98,a.d. adams,male,9,6,4.14,280,8
99,a.d. christopher,male,12,16,3.27,482,32
100,a.d. cooper,female,25,33,3.37,277,42
101,a.d. davies,male,27,51,3.98,3432,275
102,a.d. justice,female,55,1173,4.2,12948,3781
103,a.d. mccammon,female,7,307,3.97,1055,253
104,a.d. miller,male,6,59,3.27,9144,1142
105,a.d. popovich,female,5,71,4.17,315,67
106,a.d. ryan,female,22,69,3.93,793,103
107,a.d. scott,female,9,154,3.7,3415,694
108,a.d. smith iii,male,1,12,3.67,27,7
109,a.d. starrling,female,29,348,4.16,2356,553
110,a.d. trosper,female,13,116,4.18,1324,227
111,a.e. decker,female,13,41,4.25,204,78
112,a.e. fielding,female,24,2,3.68,642,55
113,a.e. housman,male,88,106,4.04,5107,408
114,a.e. moorat,male,3,18,3.51,2799,296
115,a.e. murphy,female,27,711,4.15,12948,1764
116,a.e. poynor,male,3,7,3.75,212,22
117,a.e. radley,female,29,313,4.16,6547,1271
118,a.e. rought,female,6,59,3.42,798,261
119,a.e. ryecart,female,20,86,3.97,2007,590
120,a.e. stallings,female,20,53,4.15,1212,163
121,a.e. stueve,male,10,24,4.54,46,24
122,a.e. van vogt,male,387,308,3.83,42614,2665
123,a.e. via,female,21,2065,4.2,39252,5324
124,a.e. warren,female,2,17,4.24,157,54
125,a.e. wasp,female,34,419,4.03,11583,2145
126,a.e. woodward,female,11,405,3.79,4435,695
127,a.e.w. mason,male,98,37,3.84,5420,421
128,a.f. alexander,female,3,5,4.05,93,10
129,a.f. dery,female,11,35,3.74,1035,97
130,a.f. harrold,male,25,89,3.94,4467,1052
131,a.f. kay,male,2,22,4.46,722,62
132,a.f. pollard,male,46,2,3.6,195,9
133,a.f.n. clarke,male,8,5,4.02,286,43
134,a.f.th. van der heijden,male,52,160,3.68,12388,699
135,a.g. cascone,female,27,12,3.77,1517,155
136,a.g. claymore,male,15,18,4.03,926,59
137,a.g. hayes,male,9,8,4.29,24,8
138,a.g. henley,female,17,418,4.04,7091,854
139,a.g. howard,female,15,7712,4.01,114173,17853
140,a.g. keller,female,11,42,3.56,545,97
141,a.g. lafley,male,6,35,3.97,6087,359
142,a.g. marshall,female,14,93,4.15,1734,276
143,a.g. mogan,female,11,14,3.77,729,130
144,a.g. mojtabai,female,11,1,3.35,133,27
145,a.g. riddle,male,13,3230,3.91,177792,10613
146,a.g. roderick,male,1,1,3.9,84,20
147,a.g. roemmers,male,8,19,3.37,1756,321
148,a.g. silver,female,1,45,4.02,727,109
149,a.h. almaas,male,58,76,4.31,1820,144
150,a.h. benjamin,male,44,4,3.7,779,161
151,a.h. carlisle iii,male,3,14,4.34,50,6
152,a.h. de oliveira marques,male,123,4,3.93,308,24
153,a.h. metwally,male,3,3,3.82,17,9
154,a.h. richardson,female,7,20,4.06,193,146
155,a.h. tammsaare,male,76,32,3.73,7405,179
156,a.h.m. jones,male,20,6,3.82,252,35
157,a.i. nasser,male,43,61,3.9,3506,506
158,a.i. shoukry,male,4,43,3.79,58,19
159,a.j. aalto,female,16,440,4.13,11014,1128
160,a.j. aaron,male,13,9,3.28,271,49
161,a.j. adaire,female,11,32,3.93,845,89
162,a.j. adams,male,3,1,3.96,432,60
163,a.j. albany,female,1,5,3.98,186,29
164,a.j. arberry,male,90,22,4.16,1984,202
165,a.j. ayer,male,51,67,3.96,20939,657
166,a.j. bakke,female,24,9,4.06,455,142
167,a.j. banner,female,4,836,3.42,59735,5654
168,a.j. bennett,female,14,408,3.74,4514,668
169,a.j. betts,female,6,219,3.7,11171,1862
170,a.j. blue,female,25,19,3.98,665,32
171,a.j. brown,male,7,1,4.29,58,11
172,a.j. carella,female,24,265,3.84,8463,478
173,a.j. colby,female,5,50,3.92,577,62
174,a.j. compton,female,2,47,4.34,247,130
175,a.j. conyers,male,8,1,3.72,39,2
176,a.j. cooper,male,39,8,3.28,122,9
177,a.j. cosmo,male,87,100,3.95,4357,410
178,a.j. cronin,male,93,313,4.13,18140,1291
179,a.j. culey,female,21,27,4.39,175,113
180,a.j. davidson,female,32,84,4.76,6394,1323
181,a.j. dixon,female,11,6,2.83,143,35
182,a.j. downey,female,50,1017,4.2,16801,1591
183,a.j. dungo,male,1,16,4.39,1063,206
184,a.j. finn,male,2,4576,3.94,378434,37308
185,a.j. gabryel,male,4,2,3.19,167,12
186,a.j. goode,female,13,28,4.04,269,36
187,a.j. gordon,male,21,1,4.17,54,13
188,a.j. hackwith,female,6,395,3.87,4717,1090
189,a.j. hawke,female,10,6,4.47,664,52
190,a.j. jacobs,male,30,1559,3.75,114524,11778
191,a.j. krafton,female,1,22,3.69,207,85
192,a.j. lape,female,15,545,4.24,1529,379
193,a.j. lieberman,male,84,16,3.89,12025,662
194,a.j. liebling,male,38,37,4.06,3213,360
195,a.j. llewellyn,female,266,400,3.79,11936,1672
196,a.j. marcus,male,96,24,3.48,1928,392
197,a.j. martinez,male,14,51,3.66,161,81
198,a.j. matthews,male,5,6,3.38,218,34
199,a.j. mccarthy,female,4,84,4.02,504,113
200,a.j. menden,female,5,29,3.6,960,115
201,a.j. myers,female,4,190,4.06,920,113
202,a.j. newman,male,40,33,4.25,4216,319
203,a.j. parr,male,31,1,3.85,265,18
204,a.j. pine,female,19,620,3.96,5393,1387
205,a.j. pollard,male,19,4,3.8,421,39
206,a.j. powers,male,4,47,4.17,593,90
207,a.j. quinnell,male,15,83,4.17,5789,248
208,a.j. ryder,female,22,36,4.25,329,179
209,a.j. sand,female,5,357,3.96,4303,362
210,a.j. sherwood,female,10,233,4.3,6351,953
211,a.j. smith,male,6,267,3.93,3621,282
212,a.j. steiger,female,4,84,3.97,2099,375
213,a.j. stewart,male,31,57,4.31,6812,431
214,a.j. storm,female,16,122,4.48,347,209
215,a.j. thomas,female,8,331,4.0,6155,1042
216,a.j. truman,male,11,189,3.76,4355,746
217,a.j. waines,female,11,403,3.87,27816,1908
218,a.j. walters,female,7,151,4.03,363,164
219,a.j. write,female,41,59,4.61,1918,436
220,a.j.a. symons,male,7,7,3.98,408,57
221,a.j.b. johnston,male,23,5,3.79,53,15
222,a.j.p. taylor,male,58,99,3.82,4207,344
223,a.k. alexander,female,30,111,3.81,6861,562
224,a.k. arenz,female,2,2,3.99,85,22
225,a.k. downing,female,4,41,4.49,55,29
226,a.k. duboff,female,40,31,4.17,3074,386
227,a.k. evans,female,20,346,4.24,1498,392
228,a.k. michaels,female,77,1033,4.28,13620,3373
229,a.k. mills,female,3,86,4.12,157,39
230,a.k. morgen,female,4,117,3.86,588,127
231,a.k. raj,male,4,7,3.5,435,36
232,a.k. ramanujan,male,21,52,3.93,3122,293
233,a.k. smith,female,1,61,4.21,134,29
234,a.k. srikumar,male,8,2,3.59,46,3
235,a.k. summers,female,1,18,3.79,1080,161
236,a.k. turner,female,13,76,3.66,3943,570
237,a.k.m. miles,female,35,211,3.76,5023,500
238,a.l. berridge,female,4,31,4.11,395,59
239,a.l. boyd,female,6,54,3.5,533,160
240,a.l. collins,male,7,95,4.03,180,51
241,a.l. davroe,female,9,527,4.12,635,198
242,a.l. fogerty,female,4,9,3.84,270,49
243,a.l. fontenot,female,1,2,4.0,8,0
244,a.l. goulden,female,9,286,4.23,189,122
245,a.l. gray,female,10,10,3.67,90,40
246,a.l. haskett,male,1,4,3.52,303,19
247,a.l. jambor,female,39,53,3.72,2108,236
248,a.l. kennedy,female,68,225,3.61,9041,1579
249,a.l. kessler,female,53,271,4.11,1968,385
250,a.l. knorr,female,36,270,4.39,10451,1352
251,a.l. long,female,25,194,4.1,1089,606
252,a.l. meinhold,female,3,12,3.94,34,8
253,a.l. rose,female,5,2,4.0,2,1
254,a.l. rowse,male,148,9,3.6,593,84
255,a.l. snijders,male,30,14,3.63,433,57
256,a.l. sonnichsen,female,2,52,4.1,1897,369
257,a.l. sowards,female,9,650,4.04,1229,386
258,a.l. tait,female,7,92,4.27,1425,240
259,a.l. waddington,female,9,160,4.0,473,167
260,a.l. zaun,female,4,320,3.94,2169,387
261,a.l.a. himmelwright,male,5,0,3.69,29,3
262,a.m. arthur,female,65,1008,3.98,34403,5055
263,a.m. bakalar,female,2,11,3.63,64,19
264,a.m. burns,male,51,39,3.81,511,149
265,a.m. burrage,male,96,23,3.89,8323,778
266,a.m. celâl şengör,male,17,213,4.22,2384,155
267,a.m. chisholm,male,8,0,4.32,103,3
268,a.m. dunnewin,female,6,107,3.88,372,101
269,a.m. gillham,female,4,75,4.05,379,75
270,a.m. griffin,female,33,593,3.9,2298,388
271,a.m. guilliams,female,15,200,4.11,784,288
272,a.m. hardin,female,17,47,4.02,1803,366
273,a.m. hargrove,female,53,2074,4.0,37439,5764
274,a.m. harte,female,13,86,4.05,280,79
275,a.m. heath,female,9,135,4.58,303,204
276,a.m. hodgson,female,5,8,4.13,76,24
277,a.m. homes,female,53,925,3.64,50488,6105
278,a.m. irún,female,6,38,4.03,348,53
279,a.m. jenkins,female,11,71,3.58,5173,809
280,a.m. johnson,female,22,973,4.34,6230,2166
281,a.m. khalifa,male,14,61,4.02,1249,118
282,a.m. lightner,female,15,3,4.05,225,36
283,a.m. madden,female,40,2408,4.16,31879,4996
284,a.m. marcus,male,16,20,4.64,488,330
285,a.m. myers,female,15,522,4.36,6324,1391
286,a.m. robinson,female,2,295,3.87,4825,442
287,a.m. snead,female,108,227,4.37,5492,835
288,a.m. vozmediano,male,18,4,3.79,105,18
289,a.m. wagner,female,2,0,4.07,43,6
290,a.m. westerling,female,7,49,3.6,307,48
291,a.m. willard,female,30,1072,4.15,3965,1830
292,a.m. wilson,female,11,246,4.12,2328,713
293,a.m. yates,female,18,78,4.11,1458,190
294,a.n. kolmogorov,male,28,15,4.3,327,21
295,a.n. roquelaure,female,5,701,3.53,115051,6540
296,a.n. willis,female,4,44,3.8,514,169
297,a.n. wilson,male,103,147,3.78,12918,1622
298,a.n.d. haksar,male,19,10,3.65,1332,133
299,a.o. peart,female,18,554,3.79,3243,794
300,a.o. scott,male,9,25,3.68,2125,238
301,a.p. bateman,male,23,31,4.37,4803,133
302,a.p. fuchs,male,53,41,3.64,746,103
303,a.p. herbert,male,52,3,3.98,320,47
304,a.p. jensen,female,15,130,3.93,2194,303
305,a.p. martin,male,4,43,3.98,900,152
306,a.p. martinich,male,13,8,4.01,520,31
307,a.p. mccoy,male,6,6,3.96,449,47
308,a.p.j. abdul kalam,male,86,1426,4.21,62776,2643
309,a.r. ammons,male,35,53,4.01,2403,212
310,a.r. ivanovich,female,4,177,4.04,4589,421
311,a.r. kahler,male,19,360,3.75,15582,1178
312,a.r. kennedy,female,12,238,4.17,2451,266
313,a.r. shaw,female,23,119,4.2,6525,603
314,a.r. summers,female,2,5,3.89,45,20
315,a.r. torre,female,5,905,3.89,25821,4501
316,a.r. von,female,31,1188,4.08,1360,544
317,a.r. voss,male,8,151,3.65,144,54
318,a.r. williams,female,5,1,3.61,23,14
319,a.r. winters,female,53,211,3.97,29088,2071
320,a.r. winterstaar,female,4,35,4.06,813,25
321,a.r. wise,male,38,251,3.84,15072,1452
322,a.s. berman,male,4,3,3.97,385,37
323,a.s. byatt,female,145,1673,3.81,236810,16039
324,a.s. dulat,male,2,19,3.57,1442,211
325,a.s. franchini,male,21,4,3.75,679,38
326,a.s. harrington,female,6,2,4.11,83,32
327,a.s. laksana,male,22,51,3.68,4452,625
328,a.s. neill,male,23,55,4.1,2128,181
329,a.s. newman,female,2,5,4.04,23,5
330,a.s. patric,male,17,56,3.52,1926,303
331,a.s. peterson,male,17,214,4.25,1977,310
332,a.s.a. durphy,male,2,10,4.03,103,40
333,a.s.a. harrison,female,4,381,3.3,94872,9546
334,a.t. douglas,female,8,82,3.74,1218,91
335,a.t. fomenko,male,49,10,3.73,164,19
336,a.t. micalizzi,male,3,1,3.87,117,13
337,a.t. russell,male,12,13,4.53,161,24
338,a.t. smith,female,6,7,3.91,360,70
339,a.v. club,male,3,11,3.77,2565,204
340,a.v. scott,female,14,99,3.25,806,70
341,a.v. walters,female,3,1,4.42,19,4
342,a.w. exley,female,29,822,3.94,15981,1783
343,a.w. hartoin,female,27,125,4.1,6465,640
344,a.w. mykel,male,5,5,4.0,303,30
345,a.w. tozer,male,294,1186,4.36,94554,4197
346,a.w. yrjänä,male,11,10,3.42,670,55
347,a.x. ahmad,male,4,52,3.61,1487,307
348,aadhavan,male,7,17,4.27,293,23
349,aaf brandt corstius,female,23,2,3.31,975,119
350,aage storm borchgrevink,male,7,1,3.76,156,9
351,aalexxa aarows,female,11,16,3.78,46,6
352,aanchal malhotra,female,2,77,4.5,508,91
353,aapeli,male,11,1,3.61,405,26
354,aarathi prasad,female,3,2,3.69,240,40
355,"aaron ""maverick"" judkins",male,8,1,5.0,1,0
356,aaron alexovich,male,53,52,4.24,27521,1851
357,aaron allston,male,100,325,3.93,86747,2001
358,aaron b. powell,male,23,69,4.07,499,227
359,aaron baker,male,19,8,4.02,62,3
360,aaron bank,male,2,1,3.85,47,5
361,aaron becker,male,8,273,4.37,17523,3062
362,aaron belz,male,5,33,4.17,218,48
363,aaron blabey,male,53,348,4.18,29613,3689
364,aaron bobrow-strain,male,3,16,3.96,1128,220
365,aaron clarey,male,15,57,3.85,1611,174
366,aaron cometbus,male,27,121,4.09,4655,451
367,aaron copland,male,83,48,3.94,7637,199
368,aaron cully drake,male,1,16,4.04,234,34
369,aaron d. gansky,male,9,31,4.24,356,95
370,aaron dembski-bowden,male,128,700,4.11,30802,1734
371,aaron e. carroll,male,5,33,3.79,1364,258
372,aaron elkins,male,44,264,3.84,30561,2491
373,aaron erickson,male,2,4,3.79,135,16
374,aaron eske,male,4,6,3.66,71,13
375,aaron fisher,male,1,1,4.07,655,95
376,aaron fletcher,male,27,33,4.2,2449,161
377,aaron fricke,male,2,7,3.86,106,12
378,aaron frisch,male,150,6,3.82,983,198
379,aaron gurevich,male,13,1,4.16,116,9
380,aaron gustafson,male,10,24,4.04,3064,131
381,aaron gwyn,male,9,17,3.88,537,94
382,aaron hartzler,male,4,404,4.04,9987,2047
383,aaron hodges,male,32,171,4.0,3729,550
384,aaron hurst,male,4,8,3.83,343,23
385,aaron j. ethridge,male,12,19,3.78,1086,78
386,aaron james,male,17,39,3.2,4379,688
387,aaron johnston,male,46,79,3.99,93638,4240
388,aaron kent,male,11,19,4.8,30,5
389,aaron kerr,male,2,3,4.05,166,24
390,aaron klein,male,14,12,3.85,466,54
391,aaron krach,male,4,15,3.64,158,22
392,aaron lansky,female,3,9,4.2,1669,285
393,aaron m. patterson,male,56,331,3.66,10046,770
394,aaron mahnke,male,42,1009,3.87,8572,1188
395,aaron mcgruder,male,12,128,4.33,4864,302
396,aaron michael morales,male,4,5,3.89,100,20
397,aaron michael ritchey,male,21,110,4.12,907,246
398,aaron paul lazar,male,36,155,4.04,3239,675
399,aaron peckham,male,13,7,3.76,326,25
400,aaron pogue,male,23,167,3.72,10764,403
401,aaron polson,male,88,77,3.76,3001,335
402,aaron r. rowley,male,1,2,4.71,7,3
403,aaron renier,male,18,52,3.87,9992,1166
404,aaron reynolds,male,1,147,4.14,470,113
405,aaron rosenberg,male,186,87,3.95,12543,735
406,aaron ross powell,male,8,13,3.42,288,36
407,aaron shepard,male,52,37,4.03,4442,541
408,aaron smith,male,2,6,3.76,84,21
409,aaron sorkin,male,16,196,4.27,2311,107
410,aaron stander,male,11,71,3.85,12892,933
411,aaron starmer,male,18,177,3.66,6345,1457
412,aaron steinmetz,male,6,2,3.94,86,7
413,aaron swartz,male,7,83,4.28,468,66
414,aaron t. beck,male,72,142,4.09,9462,596
415,aaron thomas,male,6,12,4.15,241,10
416,aaron wallace,male,4,23,3.92,381,48
417,aaron williams,male,163,26,3.95,1898,160
418,aaron zenz,male,34,30,4.01,4392,591
419,aarti patel,female,6,66,3.79,144,48
420,aartjan van erkel,male,5,1,4.01,117,11
421,aase berg,female,28,41,3.8,1189,157
422,aashish gupta,male,4,25,3.9,334,251
423,aatish taseer,male,9,118,3.73,3074,431
424,abanindranath tagore,male,36,39,4.23,1333,96
425,abay qunanbayuli,male,4,7,4.04,85,14
426,abbas kazerooni,male,3,20,4.18,1371,209
427,abbas kiarostami,male,53,172,3.76,1879,281
428,abbas maroufi,male,14,90,4.15,12296,1158
429,abbas milani,male,28,258,4.07,4817,560
430,abbey sy,female,9,69,4.08,714,179
431,abbi glines,female,89,83444,4.13,1351166,82208
432,abbie chandler,female,1,100,4.17,24,10
433,abbie emmons,female,1,533,4.22,1185,594
434,abbie farwell brown,female,63,4,3.72,1018,129
435,abbie hoffman,male,19,94,3.73,4337,305
436,abbie lyons,female,11,41,4.25,1257,217
437,abbie roads,female,6,678,3.95,1754,731
438,abbie rushton,female,4,68,3.6,2468,385
439,abbie st. claire,female,31,94,4.22,1246,574
440,abbie taylor,female,4,24,3.6,1599,201
441,abbie zanders,female,57,1536,4.26,37997,3869
442,abby ayles,female,38,608,4.22,6206,1780
443,abby blake,female,49,168,3.75,8043,304
444,abby boldt messner,female,1,0,4.33,3,1
445,abby burch,female,1,2,4.5,8,2
446,abby clements,female,8,163,3.74,8209,938
447,abby cooper,female,9,139,3.99,1768,519
448,abby ellin,female,2,16,3.23,1292,225
449,abby fabiaschi,female,3,529,4.16,11296,1950
450,abby franquemont,female,2,29,4.39,731,85
451,abby gaines,female,38,226,3.59,13381,968
452,abby gale,female,15,555,4.07,1228,670
453,abby geni,female,5,167,3.86,6052,1076
454,abby gold,female,6,2,3.11,53,33
455,abby gray,female,4,3,4.24,2441,86
456,abby green,female,385,472,3.69,22114,2111
457,abby hanlon,female,9,134,4.27,6657,1168
458,abby heugel,female,5,12,3.85,848,86
459,abby howard,female,22,28,4.4,927,194
460,abby johnson,female,5,106,4.3,7312,1154
461,abby klein,female,67,44,4.03,8174,452
462,abby knox,female,39,306,3.88,7911,1050
463,abby l. ferber,female,12,2,3.9,256,20
464,abby l. vandiver,female,33,199,4.03,2220,545
465,abby lee,female,6,45,3.52,1172,112
466,abby mann,male,6,3,4.03,147,12
467,abby mcdonald,female,11,539,3.85,31694,4724
468,abby mújica,female,5,5,3.8,86,22
469,abby niles,female,11,692,3.9,10373,1150
470,abby norman,female,2,76,3.94,1509,296
471,abby reynolds,female,14,230,3.96,5870,779
472,abby sher,female,8,65,3.6,2155,362
473,abby stern,female,2,31,3.33,1207,200
474,abby tyler,female,9,634,4.38,271,130
475,abby wood,female,30,45,3.3,970,145
476,abby wynne,female,13,14,4.24,85,16
477,abd al malik,male,11,7,3.68,218,20
478,abd al-rahman al-kawakibi,male,7,1453,4.2,9158,1569
479,abd qayyum jumadi,male,2,1,3.75,213,40
480,abd. gafur,male,5,5,4.08,130,42
481,abdal hakim murad,male,28,192,4.51,1746,105
482,abdelatif ouldabdallah,male,2,170,4.08,40,17
483,abdelfattah kilito,male,35,264,3.84,2692,623
484,abdelkader benali,male,59,29,2.97,1606,158
485,abdelkebir khatibi,male,23,42,3.82,204,24
486,abdellah taïa,male,20,133,3.67,1878,220
487,abdellatif laâbi,male,51,44,3.96,258,43
488,abdelmonam kouka,male,2,4,4.5,8,3
489,abdi nazemian,male,5,375,4.19,5029,1162
490,abdolhosein zarrinkob,male,50,274,3.87,4326,415
491,abdourahman a. waberi,male,20,9,3.31,589,108
492,abdu'l-bahá,male,79,69,4.76,1410,61
493,abdul basit abdul rahman,male,15,6,4.25,151,22
494,abdul haleem sharar,male,14,13,3.96,203,25
495,abdul latip talib,male,80,204,4.41,5937,451
496,abdul rahim awang,male,22,23,3.87,429,93
497,abdul rahman munif,male,35,2243,3.88,28838,4859
498,abdul salam zaeef,male,4,16,3.75,357,68
499,abdul somad,male,9,75,4.36,832,35
500,abdulhadi al-amshan,male,1,273,3.55,2055,397
501,abdulhadi bushehri,male,3,13,3.95,85,27
502,abdulkadir geylani,male,9,3,4.69,80,3
503,abdullah ahmad,male,8,3,4.21,42,9
504,abdullah al-salloum,male,4,28,3.67,123,34
505,abdullah gymnastiar,male,25,37,3.77,576,61
506,abdullah hussain,male,38,16,4.14,1572,197
507,abdullah hussein,male,15,121,4.0,1227,102
508,abdullah ii of jordan,male,2,37,4.05,695,99
509,abdullah khan,male,1,18,3.9,81,43
510,abdullah nasih 'ulwan,male,15,18,4.06,393,44
511,abdullah öcalan,male,70,155,4.21,999,87
512,abdulrazak gurnah,male,18,74,3.68,2319,285
513,abdurahman faiz,male,9,146,4.33,1359,81
514,abdón ubidia,male,21,4,3.78,175,28
515,abeer y. hoque,female,7,103,4.0,301,56
516,abel basti,male,9,16,3.76,93,10
517,abel keogh,male,8,81,3.84,640,152
518,aberjhani,male,23,198,4.34,152,26
519,abha dawesar,female,10,24,3.31,1502,174
520,abhas verma,male,3,5,4.51,43,2
521,abhay bang,male,6,4,4.08,295,7
522,abhay nagarajan,male,8,0,2.77,142,24
523,abhi,male,4,7,4.08,38,16
524,abhi sharma,male,8,11,3.66,344,36
525,abhijit sen,male,11,10,4.29,80,11
526,abhijit v. banerjee,male,11,363,4.26,13925,1247
527,abhimanyu jha,male,5,18,3.6,649,46
528,abhimanyu rajarajan,male,2,2,3.9,51,23
529,abhinav kaushik,male,2,23,3.56,81,9
530,abhishek kumar,male,3,13,4.21,224,57
531,abhishek singh,male,71,14,4.04,786,121
532,abi curtis,female,4,12,3.93,69,16
533,abi daré,female,1,163,4.5,9701,1445
534,abi elphinstone,female,13,258,4.21,3451,611
535,abiegail rose,female,17,10,4.45,178,48
536,abigail adams,female,46,54,4.19,3921,234
537,abigail agar,female,29,40,4.0,5320,958
538,abigail barnette,female,48,1083,3.88,28068,2489
539,abigail black,female,25,0,3.69,278,26
540,abigail boyd,female,12,220,3.95,5672,460
541,abigail carter,female,4,22,3.83,560,103
542,abigail davies,female,40,1041,4.33,4253,1530
543,abigail gibbs,female,8,1137,3.78,13343,1767
544,abigail gordon,female,187,8,3.63,898,69
545,abigail graham,female,28,332,3.7,11079,1514
546,abigail haas,female,3,696,4.02,22516,4158
547,abigail hilton,female,56,110,4.24,2505,216
548,abigail hing wen,female,3,181,3.86,4026,1115
549,abigail johnson,female,6,584,3.92,5046,1142
550,abigail johnson dodge,female,12,6,4.09,416,64
551,abigail keam,female,43,296,3.79,12967,1257
552,abigail lawrence,female,4,11,3.95,440,40
553,abigail lee justice,female,18,49,4.29,168,83
554,abigail lucas,female,9,2,3.42,79,13
555,abigail owen,female,35,748,4.02,5224,1204
556,abigail padgett,female,22,50,3.92,2652,324
557,abigail r. gehring,female,31,41,3.98,3385,204
558,abigail reynolds,female,33,588,3.83,23089,2339
559,abigail roux,female,36,4453,4.25,143475,16203
560,abigail santamaria,female,2,15,4.02,390,101
561,abigail strom,female,22,400,3.9,20213,1527
562,abigail thomas,female,16,148,3.81,13424,2132
563,abigail ulman,female,3,46,3.54,869,149
564,abigail wilson,female,4,317,4.17,1036,490
565,abilash balan,male,1,8,3.54,35,20
566,abla farhoud,female,11,9,3.74,402,36
